pdt,value_date,underlying_id,order,settle_value,returns,expdate
C,2017-02-27,C  U7,2,382.0,0.013649870690402728,2017-08-25
C,2017-02-28,C  U7,2,387.25,0.020447996792603392,2017-08-25
C,2017-03-01,C  U7,2,395.25,-0.007619084476439405,2017-08-25
C,2017-03-02,C  U7,2,392.25,0.0019102202561192452,2017-08-25
C,2017-03-05,C  U7,2,393.0,-0.0038240964384033942,2017-08-25
C,2017-03-06,C  U7,2,391.5,-0.0051216501200548065,2017-08-25
C,2017-03-07,C  U7,2,389.5,-0.008379037098847738,2017-08-25
C,2017-03-08,C  U7,2,386.25,-0.013029500290333795,2017-08-25
C,2017-03-09,C  U7,2,381.25,-0.005259709692979729,2017-08-25
C,2017-03-12,C  U7,2,379.25,-0.009271589595557714,2017-08-25
C,2017-03-13,C  U7,2,375.75,0.0026578088735210396,2017-08-25
C,2017-03-14,C  U7,2,376.75,0.0019887311824744805,2017-08-25
C,2017-03-15,C  U7,2,377.5,0.006600684031352093,2017-08-25
C,2017-03-16,C  U7,2,380.0,0.00590359208874022,2017-08-25
C,2017-03-19,C  U7,2,382.25,0.0,2017-08-25
C,2017-02-26,C  Z7,3,391.0,-0.005771096491921841,2017-11-24
C,2017-02-27,C  Z7,3,388.75,0.012779726646399021,2017-11-24
C,2017-02-28,C  Z7,3,393.75,0.018868484304382736,2017-11-24
C,2017-03-01,C  Z7,3,401.25,-0.006877176213955936,2017-11-24
C,2017-03-02,C  Z7,3,398.5,0.001880288864852128,2017-11-24
C,2017-03-05,C  Z7,3,399.25,-0.0031357818106840566,2017-11-24
C,2017-03-06,C  Z7,3,398.0,-0.005037794029957181,2017-11-24
C,2017-03-07,C  Z7,3,396.0,-0.008240934118750019,2017-11-24
C,2017-03-08,C  Z7,3,392.75,-0.011523815106934105,2017-11-24
C,2017-03-09,C  Z7,3,388.25,-0.004517594001319765,2017-11-24
C,2017-03-12,C  Z7,3,386.5,-0.007792247220165767,2017-11-24
C,2017-03-13,C  Z7,3,383.5,0.001953761611394377,2017-11-24
C,2017-03-14,C  Z7,3,384.25,0.001949951869078935,2017-11-24
C,2017-03-15,C  Z7,3,385.0,0.00647251450561752,2017-11-24
C,2017-03-16,C  Z7,3,387.5,0.005789659144484263,2017-11-24
C,2017-03-19,C  Z7,3,389.75,0.0,2017-11-24
