underlying_id,valuedate,settle_value,ticker
BO  N6,2-Jul-15,33.98,BON6 Comdty
BO  N5,2-Jul-15,33.36,BON15 Comdty
BO  V7,2-Jul-15,34.03,BOV7 Comdty
BO  F7,2-Jul-15,33.75,BOF7 Comdty
BO  K7,2-Jul-15,34,BOK7 Comdty
BO  Z8,2-Jul-15,33.85,BOZ8 Comdty
BO  U7,2-Jul-15,34.05,BOU7 Comdty
BO  H7,2-Jul-15,33.92,BOH7 Comdty
BO  U6,2-Jul-15,33.75,BOU6 Comdty
BO  V5,2-Jul-15,33.68,BOV15 Comdty
BO  U5,2-Jul-15,33.56,BOU15 Comdty
BO  Z6,2-Jul-15,33.65,BOZ6 Comdty
BO  F6,2-Jul-15,34.09,BOF16 Comdty
BO  H6,2-Jul-15,34.17,BOH6 Comdty
BO  Z7,2-Jul-15,33.85,BOZ7 Comdty
BO  V8,2-Jul-15,33.85,BOV8 Comdty
BO  N7,2-Jul-15,34.1,BON7 Comdty
BO  Q7,2-Jul-15,34.06,BOQ7 Comdty
BO  N8,2-Jul-15,33.85,BON8 Comdty
BO  K6,6-Jul-15,33.46,BOK6 Comdty
BO  N6,6-Jul-15,33.51,BON6 Comdty
BO  Q6,6-Jul-15,33.46,BOQ6 Comdty
BO  Z5,6-Jul-15,33.12,BOZ5 Comdty
BO  N8,6-Jul-15,33.88,BON8 Comdty
BO  V7,6-Jul-15,33.73,BOV7 Comdty
BO  Q5,6-Jul-15,32.74,BOQ15 Comdty
BO  K7,6-Jul-15,33.64,BOK7 Comdty
BO  V5,6-Jul-15,32.9,BOV15 Comdty
BO  F6,6-Jul-15,33.31,BOF16 Comdty
BO  Z7,6-Jul-15,33.88,BOZ7 Comdty
BO  N5,6-Jul-15,32.64,BON15 Comdty
BO  U5,6-Jul-15,32.8,BOU15 Comdty
BO  H7,6-Jul-15,33.54,BOH7 Comdty
BO  U6,6-Jul-15,33.39,BOU6 Comdty
BO  V8,6-Jul-15,33.88,BOV8 Comdty
BO  Z6,6-Jul-15,33.28,BOZ6 Comdty
BO  Z8,6-Jul-15,33.88,BOZ8 Comdty
BO  V6,6-Jul-15,33.26,BOV6 Comdty
BO  U7,6-Jul-15,33.7,BOU7 Comdty
BO  H6,6-Jul-15,33.47,BOH6 Comdty
BO  N7,6-Jul-15,33.75,BON7 Comdty
BO  Q7,6-Jul-15,33.71,BOQ7 Comdty
BO  F7,6-Jul-15,33.38,BOF7 Comdty
BO  N6,7-Jul-15,32.21,BON6 Comdty
BO  Q6,7-Jul-15,32.17,BOQ6 Comdty
BO  K6,7-Jul-15,32.16,BOK6 Comdty
BO  Z5,7-Jul-15,31.8,BOZ5 Comdty
BO  V7,7-Jul-15,32.55,BOV7 Comdty
BO  N8,7-Jul-15,32.7,BON8 Comdty
BO  U5,7-Jul-15,31.57,BOU15 Comdty
BO  K7,7-Jul-15,32.46,BOK7 Comdty
BO  V5,7-Jul-15,31.62,BOV15 Comdty
BO  U7,7-Jul-15,32.52,BOU7 Comdty
BO  N5,7-Jul-15,31.41,BON15 Comdty
BO  Q5,7-Jul-15,31.52,BOQ15 Comdty
BO  H7,7-Jul-15,32.36,BOH7 Comdty
BO  U6,7-Jul-15,32.14,BOU6 Comdty
BO  Q7,7-Jul-15,32.53,BOQ7 Comdty
BO  H6,7-Jul-15,32.16,BOH6 Comdty
BO  F7,7-Jul-15,32.2,BOF7 Comdty
BO  F6,7-Jul-15,31.99,BOF16 Comdty
BO  Z8,7-Jul-15,32.7,BOZ8 Comdty
BO  V6,7-Jul-15,32.04,BOV6 Comdty
BO  N7,7-Jul-15,32.57,BON7 Comdty
BO  Z6,7-Jul-15,32.1,BOZ6 Comdty
BO  Z7,7-Jul-15,32.7,BOZ7 Comdty
BO  V8,7-Jul-15,32.7,BOV8 Comdty
BO  K6,8-Jul-15,32.33,BOK6 Comdty
BO  Q6,8-Jul-15,32.35,BOQ6 Comdty
BO  N6,8-Jul-15,32.38,BON6 Comdty
BO  Z5,8-Jul-15,32.05,BOZ5 Comdty
BO  K7,8-Jul-15,32.72,BOK7 Comdty
BO  N5,8-Jul-15,31.6,BON15 Comdty
BO  U7,8-Jul-15,32.78,BOU7 Comdty
BO  V5,8-Jul-15,31.83,BOV15 Comdty
BO  U5,8-Jul-15,31.75,BOU15 Comdty
BO  Q5,8-Jul-15,31.69,BOQ15 Comdty
BO  V6,8-Jul-15,32.29,BOV6 Comdty
BO  H6,8-Jul-15,32.35,BOH6 Comdty
BO  U6,8-Jul-15,32.34,BOU6 Comdty
BO  Z6,8-Jul-15,32.36,BOZ6 Comdty
BO  F6,8-Jul-15,32.24,BOF16 Comdty
BO  V8,8-Jul-15,32.96,BOV8 Comdty
BO  F7,8-Jul-15,32.46,BOF7 Comdty
BO  Q7,8-Jul-15,32.79,BOQ7 Comdty
BO  Z8,8-Jul-15,32.96,BOZ8 Comdty
BO  V7,8-Jul-15,32.81,BOV7 Comdty
BO  N7,8-Jul-15,32.83,BON7 Comdty
BO  H7,8-Jul-15,32.62,BOH7 Comdty
BO  Z7,8-Jul-15,32.96,BOZ7 Comdty
BO  N8,8-Jul-15,32.96,BON8 Comdty
BO  Z5,9-Jul-15,32.77,BOZ5 Comdty
BO  K6,9-Jul-15,32.95,BOK6 Comdty
BO  Q6,9-Jul-15,32.92,BOQ6 Comdty
BO  N6,9-Jul-15,32.97,BON6 Comdty
BO  K7,9-Jul-15,33.15,BOK7 Comdty
BO  N8,9-Jul-15,33.39,BON8 Comdty
BO  Q5,9-Jul-15,32.37,BOQ15 Comdty
BO  V7,9-Jul-15,33.24,BOV7 Comdty
BO  U6,9-Jul-15,32.87,BOU6 Comdty
BO  H6,9-Jul-15,33.03,BOH6 Comdty
BO  V5,9-Jul-15,32.55,BOV15 Comdty
BO  F6,9-Jul-15,32.96,BOF16 Comdty
BO  V6,9-Jul-15,32.75,BOV6 Comdty
BO  N5,9-Jul-15,32.27,BON15 Comdty
BO  H7,9-Jul-15,33.05,BOH7 Comdty
BO  Z6,9-Jul-15,32.79,BOZ6 Comdty
BO  Q7,9-Jul-15,33.22,BOQ7 Comdty
BO  U5,9-Jul-15,32.44,BOU15 Comdty
BO  U7,9-Jul-15,33.21,BOU7 Comdty
BO  N7,9-Jul-15,33.26,BON7 Comdty
BO  Z7,9-Jul-15,33.39,BOZ7 Comdty
BO  V8,9-Jul-15,33.39,BOV8 Comdty
BO  F7,9-Jul-15,32.89,BOF7 Comdty
BO  Z8,9-Jul-15,33.39,BOZ8 Comdty
BO  K6,10-Jul-15,33.01,BOK6 Comdty
BO  N6,10-Jul-15,32.99,BON6 Comdty
BO  Z5,10-Jul-15,32.85,BOZ5 Comdty
BO  U7,10-Jul-15,33.18,BOU7 Comdty
BO  Q6,10-Jul-15,32.95,BOQ6 Comdty
BO  V7,10-Jul-15,33.21,BOV7 Comdty
BO  N8,10-Jul-15,33.36,BON8 Comdty
BO  V5,10-Jul-15,32.61,BOV15 Comdty
BO  V6,10-Jul-15,32.74,BOV6 Comdty
BO  Z6,10-Jul-15,32.76,BOZ6 Comdty
BO  N5,10-Jul-15,32.31,BON15 Comdty
BO  F6,10-Jul-15,33.02,BOF16 Comdty
BO  U6,10-Jul-15,32.88,BOU6 Comdty
BO  U5,10-Jul-15,32.5,BOU15 Comdty
BO  Q5,10-Jul-15,32.42,BOQ15 Comdty
BO  H6,10-Jul-15,33.09,BOH6 Comdty
BO  Z8,10-Jul-15,33.36,BOZ8 Comdty
BO  F7,10-Jul-15,32.86,BOF7 Comdty
BO  Q7,10-Jul-15,33.19,BOQ7 Comdty
BO  N7,10-Jul-15,33.23,BON7 Comdty
BO  V8,10-Jul-15,33.36,BOV8 Comdty
BO  H7,10-Jul-15,33.02,BOH7 Comdty
BO  Z7,10-Jul-15,33.36,BOZ7 Comdty
BO  K7,10-Jul-15,33.12,BOK7 Comdty
BO  Q6,13-Jul-15,33.23,BOQ6 Comdty
BO  K6,13-Jul-15,33.32,BOK6 Comdty
BO  N6,13-Jul-15,33.29,BON6 Comdty
BO  K7,13-Jul-15,33.35,BOK7 Comdty
BO  Z5,13-Jul-15,33.2,BOZ5 Comdty
BO  F6,13-Jul-15,33.38,BOF16 Comdty
BO  U7,13-Jul-15,33.41,BOU7 Comdty
BO  V6,13-Jul-15,33.01,BOV6 Comdty
BO  U5,13-Jul-15,32.84,BOU15 Comdty
BO  Z8,13-Jul-15,33.58,BOZ8 Comdty
BO  Q5,13-Jul-15,32.74,BOQ15 Comdty
BO  N7,13-Jul-15,33.46,BON7 Comdty
BO  H6,13-Jul-15,33.42,BOH6 Comdty
BO  H7,13-Jul-15,33.25,BOH7 Comdty
BO  U6,13-Jul-15,33.16,BOU6 Comdty
BO  Q7,13-Jul-15,33.42,BOQ7 Comdty
BO  V5,13-Jul-15,32.94,BOV15 Comdty
BO  N5,13-Jul-15,32.65,BON15 Comdty
BO  N8,13-Jul-15,33.58,BON8 Comdty
BO  Z6,13-Jul-15,32.99,BOZ6 Comdty
BO  V7,13-Jul-15,33.43,BOV7 Comdty
BO  Z7,13-Jul-15,33.58,BOZ7 Comdty
BO  V8,13-Jul-15,33.58,BOV8 Comdty
BO  F7,13-Jul-15,33.09,BOF7 Comdty
BO  Q6,14-Jul-15,33.06,BOQ6 Comdty
BO  Z5,14-Jul-15,32.81,BOZ5 Comdty
BO  N8,14-Jul-15,33.48,BON8 Comdty
BO  K6,14-Jul-15,33.05,BOK6 Comdty
BO  V7,14-Jul-15,33.33,BOV7 Comdty
